date,company_id,campaign_spend,website_visits,leads,qualified_leads,new_deals,pipeline_value,conversion_rate,churn_rate
2021-12-28,29,2336.59,981,95,21,14,69100.34,0.618,0.07
2025-07-20,5,2057.7,1366,53,61,9,46674.82,0.87,0.139
2025-06-15,36,3130.75,809,106,44,17,27271.36,0.114,0.188
2026-07-24,30,3332.82,1332,58,55,5,64902.31,0.02,0.105
2025-10-27,2,3126.8,1020,103,61,9,26425.97,0.262,0.15
2026-09-03,30,3385.81,1646,111,53,2,51336.9,0.217,0.007
2021-05-05,3,3217.5,1744,84,68,6,22012.51,0.709,0.133
2022-05-07,30,2723.1,1197,82,52,10,33749.37,0.369,0.086
2023-12-22,13,3788.42,1239,58,45,10,44748.04,0.994,0.102
2025-12-04,35,2816.2,1990,73,27,19,73840.38,0.723,0.003
2022-12-13,23,3552.3,896,81,21,15,28862.22,0.882,0.154
2025-07-01,19,2898.9,1907,61,79,2,75655.74,0.302,0.049
2023-06-14,7,3769.55,1228,118,61,3,35783.93,0.195,0.105
2022-08-09,27,3950.4,1353,101,21,1,50497.74,0.313,0.151
2023-10-02,6,3741.2,1138,109,56,4,45431.44,0.252,0.106
2021-09-30,20,2751.21,1301,57,67,10,50434.56,0.419,0.059
2026-06-19,20,2046.24,1523,90,65,12,62825.37,0.725,0.153
2026-06-01,36,3639.18,985,140,58,1,67822.48,0.374,0.032
2023-07-17,32,3176.29,1153,141,45,15,77519.09,0.748,0.196
2024-03-18,25,3889.4,899,58,32,11,77517.67,0.619,0.151
2020-07-05,25,3095.57,1487,118,35,6,38049.65,0.11,0.005
2020-09-17,16,2153.57,1264,123,57,19,64237.37,0.688,0.027
2020-11-18,13,3341.94,929,124,38,1,30066.55,0.37,0.032
2020-10-18,33,2131.33,1675,142,31,3,52370.28,0.492,0.027
2021-07-07,34,2038.95,1277,71,65,5,52160.83,0.622,0.144
2025-03-10,21,2304.64,917,109,40,20,51282.32,0.956,0.095
2024-02-29,30,2084.92,838,144,55,1,20426.2,0.911,0.13
2021-01-06,6,3858.35,1949,100,48,1,32974.34,0.377,0.138
2020-12-17,33,2518.29,835,83,25,20,26297.82,0.16,0.006
2024-02-14,23,2687.67,1785,116,35,1,39130.01,0.728,0.153
2022-04-04,6,3491.95,1975,106,33,14,47291.96,0.644,0.093
2023-01-30,28,2083.87,1466,56,42,16,36320.95,0.311,0.011
2023-08-25,10,3164.08,1154,132,24,1,22059.75,0.091,0.061
2024-11-05,37,2199.55,1343,82,21,18,76427.63,0.77,0.156
2020-08-24,31,3325.56,815,98,56,8,36561.85,0.331,0.093
2021-10-16,15,3518.23,1030,111,74,12,32277.36,0.56,0.061
2026-10-12,19,3869.58,1635,129,36,16,32541.58,0.921,0.193
2023-02-09,13,3071.8,1197,121,79,19,45300.68,0.68,0.079
2021-07-20,27,3433.96,1975,74,56,18,40304.19,0.456,0.084
2023-09-14,34,3455.22,1835,105,39,6,58297.08,0.037,0.16
2023-01-18,35,2033.35,1748,142,51,6,58880.46,0.271,0.182
2023-03-04,6,2992.78,1525,76,60,13,59780.69,0.495,0.006
2025-07-20,4,2223.44,910,62,76,19,36919.44,0.083,0.154
2021-10-08,18,3444.62,1641,82,71,14,31825.07,0.384,0.1
2023-12-10,7,2534.41,1250,91,24,9,61539.52,0.348,0.121
2023-07-04,17,3106.56,806,83,74,6,76449.8,0.962,0.153
2026-07-29,23,3371.34,1955,109,22,9,56193.25,0.711,0.046
2022-05-04,23,3575.16,935,71,73,19,78063.9,0.845,0.065
2020-02-22,14,3126.56,1806,89,72,11,76000.75,0.727,0.139
2023-07-27,30,3149.16,1462,72,62,4,69219.49,0.424,0.07
2024-02-18,20,3706.02,1829,108,53,19,76168.34,0.23,0.035
2026-09-20,18,3820.24,1452,150,27,7,60233.13,0.026,0.075
2024-07-25,6,3818.74,1032,105,29,4,69935.81,0.02,0.069
2026-01-26,40,2286.78,1330,95,75,9,51309.67,0.624,0.19
2023-04-25,39,3417.36,1745,148,71,11,72571.24,0.923,0.174
2024-04-11,11,2330.8,1560,142,73,19,63945.16,0.031,0.148
2023-06-19,36,2753.62,1226,118,67,5,25849.85,0.358,0.019
2021-01-07,2,2729.34,1899,88,61,15,61869.08,0.567,0.094
2020-01-08,33,3393.29,1517,105,69,6,23602.95,0.222,0.107
2024-03-01,24,2069.46,1304,99,21,1,30060.13,0.832,0.143
2025-05-17,12,3234.3,1533,50,42,4,55718.88,0.266,0.126
2023-11-01,25,2336.25,1024,95,80,1,32054.71,0.644,0.083
2021-08-12,2,3832.88,1682,128,70,9,40614.19,0.123,0.164
2020-04-13,20,3409.87,1827,122,47,18,35877.26,0.511,0.053
2023-05-24,38,2574.26,1627,54,45,17,78711.94,0.216,0.049
2024-06-21,33,2822.99,1251,145,53,15,52381.11,0.554,0.161
2024-04-03,30,2583.96,849,129,80,20,50713.19,0.252,0.077
2023-11-18,3,3877.22,1385,72,36,19,48103.18,0.917,0.153
2025-04-06,30,2791.56,1890,77,49,12,50562.77,0.855,0.024
2020-04-01,12,2057.54,1356,53,32,11,36147.36,0.454,0.184
2023-07-04,23,3737.21,1377,64,22,15,49393.7,0.139,0.193
2022-08-31,12,3280.23,846,86,61,17,36157.21,0.924,0.13
2022-10-24,38,3040.21,1945,124,63,4,46574.2,0.857,0.093
2022-09-16,35,3632.84,1142,140,32,10,47771.42,0.69,0.092
2022-12-12,29,2990.28,827,98,25,15,49198.19,0.718,0.08
2026-01-27,7,2931.72,1638,69,29,13,72298.28,0.879,0.067
2021-08-09,6,3541.23,851,93,38,5,31047.49,0.714,0.022
2023-12-22,39,2976.62,1236,123,23,4,37723.62,0.619,0.172
2020-09-26,31,3275.38,1502,75,33,10,57959.0,0.454,0.055
2020-05-31,9,3615.57,1510,99,72,5,55323.33,0.822,0.169
2023-12-24,6,2963.92,1365,104,63,10,39425.09,0.13,0.171
2022-01-12,5,2030.68,947,117,35,18,48316.65,0.83,0.139
2024-05-05,12,3219.39,958,117,35,9,37781.47,0.489,0.032
2021-07-02,25,2355.99,1027,100,41,13,20229.55,0.28,0.065
2021-06-15,31,2951.25,1835,93,57,5,41024.67,0.149,0.157
2020-02-16,5,3799.3,1578,125,75,10,76054.26,0.802,0.096
2020-09-08,22,2147.65,1307,141,80,2,36036.17,0.35,0.099
2022-04-20,19,3355.3,1512,86,75,16,36395.32,0.5,0.127
2021-10-12,8,2239.86,1030,55,29,15,23731.79,0.944,0.108
2020-03-27,14,2275.75,1690,144,33,20,48157.92,0.217,0.115
2021-02-16,11,2250.54,1984,146,35,10,25725.52,0.579,0.147
2026-12-16,14,3611.08,858,120,66,12,41174.12,0.876,0.155
2024-09-23,2,2565.01,1120,126,71,14,57802.09,0.358,0.113
2020-02-08,34,2477.45,1275,78,25,1,76038.44,0.421,0.037
2023-12-26,15,2753.33,1918,64,48,5,61214.86,0.33,0.007
2021-03-19,37,2037.98,1393,134,52,18,32703.19,0.408,0.083
2023-01-21,39,2379.49,1806,137,40,14,64424.1,0.987,0.113
2023-04-26,32,3378.44,1576,138,77,17,39173.99,0.981,0.16
2021-06-22,34,2173.47,1874,63,57,12,64611.91,0.982,0.197
2026-03-06,3,3819.27,1710,92,38,2,61754.87,0.214,0.134
2023-12-26,36,3156.87,1155,119,38,3,50828.73,0.209,0.045
2026-08-17,1,2911.13,1246,130,59,19,28521.28,0.865,0.007
2024-02-22,18,3794.22,1626,53,62,20,42312.66,0.591,0.094
2025-02-12,18,2085.56,1304,99,67,3,51184.84,0.179,0.1
2026-10-26,22,2687.65,1073,64,32,8,72892.75,0.942,0.2
2021-06-25,2,3635.0,1797,61,65,14,68396.98,0.042,0.169
2025-06-27,21,2566.3,1072,111,37,9,52741.52,0.035,0.193
2025-05-12,23,2533.93,1257,56,46,12,47029.55,0.082,0.082
2022-10-02,30,3491.33,1496,145,28,1,49610.13,0.691,0.049
2022-08-19,21,3998.59,1533,89,23,13,39980.67,0.883,0.102
2021-06-27,20,3520.82,1686,79,25,13,25326.5,0.472,0.106
2024-01-23,5,3029.49,1112,136,58,9,24558.24,0.433,0.128
2026-08-22,3,2964.66,1525,150,70,1,31131.87,0.48,0.002
2022-05-08,36,3038.78,1053,97,26,8,37237.62,0.678,0.168
2020-03-06,14,2170.51,905,53,48,9,41097.17,0.911,0.002
2026-12-28,34,3365.09,1309,140,74,4,31339.91,0.465,0.158
2026-01-30,5,3690.33,1746,79,34,18,49620.32,0.677,0.091
2025-08-05,15,2847.14,1753,60,25,18,73105.55,0.583,0.032
2026-01-25,32,2279.82,1276,61,30,8,42239.86,0.936,0.072
2020-10-07,35,2339.94,1570,87,55,20,67402.53,0.058,0.2
2026-04-23,14,2254.43,1402,91,24,16,73595.36,0.757,0.123
2020-08-19,32,3007.69,1106,145,49,14,35251.02,0.218,0.149
2023-02-25,34,3523.92,1539,103,26,10,72834.63,0.926,0.067
2022-08-06,33,2794.61,1753,146,39,11,52115.71,0.791,0.09
2020-06-10,33,3488.06,939,128,78,8,48186.68,0.04,0.001
2025-10-20,17,3911.9,1756,104,31,13,43363.16,0.4,0.005
2025-08-25,30,2704.6,1028,126,57,3,54801.47,0.043,0.143
2023-09-02,15,2090.49,1714,60,38,7,78062.11,0.199,0.123
2024-06-22,25,3222.2,1337,73,70,15,50343.26,0.597,0.116
2026-07-14,5,3061.6,1084,144,73,3,26209.34,0.737,0.143
2020-12-26,22,2015.59,894,74,51,20,70664.43,0.548,0.122
2024-03-25,12,3864.5,1706,132,73,9,59699.03,0.667,0.115
2026-11-09,13,3573.44,845,85,25,17,61803.79,0.06,0.083
2021-03-02,22,3933.34,1006,104,73,3,68323.48,0.708,0.09
2020-06-10,22,2017.29,1981,130,61,7,61164.19,0.81,0.083
2024-12-03,40,2018.9,948,98,27,7,53549.87,0.714,0.192
2025-02-11,9,2819.01,940,58,34,3,59605.11,0.625,0.088
2023-02-23,4,2894.82,849,54,53,20,52687.82,0.514,0.12
2023-09-23,14,2665.1,1085,56,73,9,52778.3,0.536,0.175
2024-08-06,15,3221.32,1752,123,34,14,21002.82,0.526,0.055
2021-03-02,20,3441.72,1152,71,67,4,75597.34,0.132,0.117
2024-03-31,13,3910.06,978,145,45,13,79432.09,0.046,0.058
2023-04-26,3,3189.95,1605,74,66,13,36670.48,0.534,0.072
2023-07-13,40,3079.78,1135,78,45,17,65272.17,0.784,0.174
2025-09-26,2,3466.94,873,103,45,10,42758.12,0.467,0.04
2020-07-14,33,2831.4,1658,124,57,13,49577.24,0.555,0.054
2024-07-10,40,2677.92,1926,148,46,18,21704.98,0.968,0.081
2026-11-02,32,2208.37,1714,92,72,18,44127.58,0.37,0.002
2026-04-12,2,3296.79,1098,86,30,15,74243.25,0.509,0.04
2020-09-27,34,3432.79,1329,64,38,13,65627.46,0.67,0.133
2020-07-31,4,2683.7,920,120,67,20,66744.9,0.593,0.1
2021-09-28,25,3112.19,1938,108,55,6,63080.0,0.762,0.165
2022-05-07,23,3084.78,1901,103,59,7,55662.55,0.767,0.104
2023-09-10,37,3455.01,1843,138,28,7,49336.06,0.903,0.117
2021-12-03,35,2744.6,1300,134,38,14,76011.35,0.065,0.153
2021-11-17,37,3304.38,860,108,41,18,52117.66,0.897,0.124
2022-10-02,5,3133.7,836,100,41,19,78138.34,0.067,0.08
2022-06-07,30,2769.41,1690,132,21,14,41816.21,0.656,0.15
2020-04-14,30,2111.96,1751,88,31,9,34127.03,0.61,0.134
2025-06-01,14,2111.29,910,99,60,4,62719.23,0.585,0.11
2024-11-05,40,2304.94,1295,120,71,10,30222.63,0.244,0.026
2020-01-17,9,2380.96,1305,145,78,16,42414.0,0.688,0.138
2020-12-03,9,3730.82,1398,99,29,14,49288.08,0.043,0.158
2026-07-30,39,3162.38,852,75,22,14,62349.93,0.731,0.117
2025-05-29,12,2707.1,1734,143,43,12,42708.55,0.686,0.169
2021-10-26,17,2836.76,963,143,51,13,22122.26,0.092,0.185
2020-04-02,17,2253.0,1141,89,80,6,33699.91,0.433,0.065
2022-09-03,21,2779.18,1642,102,46,12,34487.67,0.927,0.146
2023-11-10,33,3259.58,965,106,33,4,51211.8,0.826,0.011
2026-06-08,14,2946.55,1295,111,22,15,47232.33,0.562,0.089
2021-04-10,32,2432.03,1428,136,21,3,72579.23,0.176,0.151
2021-12-19,13,2657.85,1154,52,60,20,24704.83,0.377,0.15
2023-08-23,21,3615.05,1231,70,59,8,45438.72,0.801,0.158
2020-12-02,35,2770.68,1990,67,63,15,25738.46,0.863,0.162
2021-01-01,8,2018.58,1766,125,77,15,63547.68,0.867,0.055
2020-07-28,28,3556.82,1850,141,43,17,53194.72,0.869,0.041
2025-02-28,37,2993.56,1819,54,50,7,26294.54,0.963,0.052
2021-07-29,36,2145.48,1422,69,78,11,57328.68,0.747,0.027
2023-09-14,8,2087.87,1493,150,65,3,26616.82,0.053,0.196
2020-01-17,24,2916.28,1339,103,30,13,23005.4,0.279,0.094
2025-09-25,15,3064.0,1879,77,26,2,30226.04,0.538,0.117
2026-02-04,22,2722.83,1167,56,68,17,76112.15,0.322,0.13
2020-09-01,33,2170.42,1575,99,44,2,38138.21,0.49,0.112
2025-02-14,37,2843.54,831,144,45,18,75405.64,0.123,0.132
2024-03-04,25,2395.02,1310,73,59,4,30342.73,0.863,0.076
2020-06-04,27,2124.37,1822,87,63,4,22024.32,0.482,0.169
2023-12-22,4,2957.81,1305,92,78,13,24646.61,0.568,0.119
2021-05-30,3,2460.51,828,122,37,8,35287.99,0.995,0.042
2022-06-20,37,3841.25,1235,109,75,2,77381.82,0.348,0.078
2025-09-08,17,3948.6,971,72,23,6,22877.91,0.062,0.185
2023-07-21,36,2984.5,808,74,58,9,57453.78,0.843,0.173
2024-08-15,8,2550.92,1212,98,75,6,29768.17,0.076,0.113
2020-11-09,12,3654.59,874,114,21,9,47946.81,0.238,0.182
2020-05-16,8,2216.8,912,50,40,15,68401.17,0.755,0.047
2023-11-13,24,3440.93,1551,109,51,19,23602.21,0.516,0.034
2022-03-21,32,2672.63,1713,148,40,10,79725.41,0.989,0.111
2023-04-16,9,3953.62,1933,92,25,12,47603.06,0.386,0.064
2023-07-14,38,3550.38,1517,77,26,17,59535.0,0.739,0.077
2025-07-18,18,2028.8,868,91,26,11,58241.46,0.328,0.162
2020-12-14,17,2749.69,1520,126,54,8,42283.25,0.689,0.097
2026-06-22,26,3834.24,1959,70,75,9,40806.14,0.452,0.121
2022-03-19,8,3817.28,1580,52,29,12,35689.54,0.622,0.053
2022-04-30,31,3100.1,1649,98,33,20,69100.75,0.717,0.117
2020-08-23,5,2201.23,822,56,53,1,59751.84,0.357,0.066
2020-04-13,17,2977.42,1328,106,23,19,37364.93,0.274,0.141
2025-11-23,2,2924.44,1056,64,24,13,33859.75,0.821,0.031
2023-02-13,20,2442.99,1573,57,31,20,71697.86,0.506,0.05
2022-06-22,1,3306.69,910,118,20,3,35768.13,0.285,0.16
2021-08-08,20,3854.42,1488,134,26,4,61579.2,0.096,0.057
2025-04-09,24,2937.44,1900,99,25,13,61842.82,0.087,0.182
2021-02-26,24,3022.61,1614,142,59,1,42709.63,0.249,0.143
2024-04-11,16,3594.99,1339,109,35,9,79043.71,0.371,0.18
2024-10-01,6,3660.64,884,125,69,18,32927.58,0.011,0.12
