tenant_id,period_start,period_end,period_grain,domain,metric_name,metric_value,metric_unit,computed_at,run_id,trace_id
pulse-demo,2018-01-01,2018-01-07,weekly,financial,burn_rate,85797.03,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,cash_flow,8173.309999999998,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,cumulative_expenses,85797.03,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,cumulative_profit,39732.57,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,cumulative_revenue,125529.6,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,outstanding_invoices,5.0,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,revenue_growth,,ratio,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,weekly_profit,39732.57,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-01,2018-01-07,weekly,financial,weekly_revenue,125529.6,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,burn_rate,27318.94,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,cash_flow,15361.57,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,cumulative_expenses,113115.97,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,cumulative_profit,36188.95,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,cumulative_revenue,149304.92,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,outstanding_invoices,5.0,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,revenue_growth,-0.8105998903844193,ratio,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,weekly_profit,-3543.62,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-08,2018-01-14,weekly,financial,weekly_revenue,23775.32,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,burn_rate,80664.11,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,cash_flow,62057.06,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,cumulative_expenses,193780.08000000002,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,cumulative_profit,51395.18,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,cumulative_revenue,245175.26,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,outstanding_invoices,5.0,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,revenue_growth,3.032346988389641,ratio,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,weekly_profit,15206.23,currency,2026-05-01T07:23:32.744000Z,0,0
pulse-demo,2018-01-15,2018-01-21,weekly,financial,weekly_revenue,95870.34,currency,2026-05-01T07:23:32.744000Z,0,0
