date,company_id,revenue,expenses,cash_inflow,cash_outflow,cash_balance,outstanding_invoices,profit
2026-12-15,4,27407.21,17496.76,41842.41,46309.93,91441.05,17964.33,9910.45
2021-03-08,27,41156.72,15215.49,38872.97,36029.75,79576.94,13735.54,25941.23
2019-11-22,11,31897.53,20167.85,43730.78,35826.88,83678.47,133.58,11729.68
2019-02-28,3,40723.13,26527.17,43832.46,24037.69,48685.07,13562.58,14195.96
2026-08-31,39,44333.21,31821.97,39641.47,46586.26,52359.23,15832.39,12511.24
2018-01-12,9,23775.32,27318.94,29019.12,13657.55,72953.16,13790.7,-3543.62
2018-08-01,17,47781.25,34020.84,41196.35,45901.23,15029.9,3045.0,13760.41
2018-05-15,8,42108.37,24399.37,34774.1,44090.72,83486.51,6117.53,17709
2021-07-11,23,14865.56,34660.88,45514.68,41682.43,91580.43,19993.4,-19795.32
2018-12-30,22,31786.97,39406.15,35758.57,11818.24,25427.98,6609.9,-7619.18
2020-10-26,7,21335.64,22221.36,15094.88,40339.23,54560.56,6914.24,-885.72
2023-06-28,26,25106.57,29322.07,45752.77,40081.03,86783.72,13534.37,-4215.5
2019-10-04,22,45694.61,37933.89,22789.92,18759.9,24036.04,18610.07,7760.72
2025-12-16,4,13384.55,21455.88,47522.24,41235.76,13481.35,11966.1,-8071.33
2022-01-05,21,43852.33,31989.13,49988.18,18959.83,78068.75,11643.79,11863.2
2020-12-23,13,33109.18,27717.76,34343.46,48741.32,18034.74,9788.13,5391.42
2022-05-30,27,18216.49,30522.13,16097.42,42664.52,40341.15,13929.16,-12305.64
2021-04-11,29,14402.07,17512.1,41214.8,24706.48,23419.17,1632.93,-3110.03
2019-03-08,20,18292.83,25263.59,29765.49,16839.31,75431.88,17693.97,-6970.76
2021-08-12,17,11574.46,17825.96,42562.31,17226.12,37443.54,15910.81,-6251.5
2025-03-16,5,49051.61,23876.18,26436.88,37196.56,98191.32,9677.38,25175.43
2025-12-19,30,49799.94,28637.52,26270.71,12988.79,34915.22,14810.72,21162.42
2025-06-04,12,30346.54,14539.47,22248.29,26765.75,42662.87,1915.07,15807.07
